Date,Time,Host,Result,Guest,Audience,MVP
02.12.2017,14:45,Trefl Gdańsk,"3:0 (25:16, 25:17, 27:25)",BBTS Bielsko-Biała,2500,Damian Schulz
02.12.2017,14:45,Jastrzębski Węgiel,"3:1 (19:25, 25:20, 25:19, 25:22)",GKS Katowice,1612,Salvador Hidalgo Oliva
02.12.2017,15:00,PGE Skra Bełchatów,"3:1 (25:16, 25:22, 23:25, 25:21)",Espadon Szczecin,2279,Kacper Piechocki
02.12.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:14, 25:14, 25:18)",Dafi Społem Kielce,1514,Benjamin Toniutti
02.12.2017,17:00,Aluron Virtu Warta Zawiercie,"3:1 (22:25, 25:23, 25:19, 25:17)",MKS Będzin,1500,Łukasz Swodczyk
03.12.2017,20:00,Cuprum Lubin,"2:3 (19:25, 25:21, 26:24, 16:25, 10:15)",Czarni Radom,900,Kamil Droszyński
04.12.2017,18:00,Indykpol AZS Olsztyn,"3:2 (25:15, 23:25, 24:26, 25:19, 15:12)",Łuczniczka Bydgoszcz,1600,Paweł Woicki
08.11.2017,18:30,ZAKSA Kędzierzyn-Koźle,"3:0 (25:10, 25:15, 25:18)",BBTS Bielsko-Biała,1069,Rafał Szymura
08.12.2017,18:00,Łuczniczka Bydgoszcz,"0:3 (15:25, 17:25, 23:25)",Cuprum Lubin,1060,Michal Masný
09.12.2017,18:00,PGE Skra Bełchatów,"3:0 (25:15, 27:25, 25:19)",Dafi Społem Kielce,1232,Patryk Czarnowski
10.12.2017,14:45,Czarni Radom,"1:3 (18:25, 22:25, 25:16, 23:25)",Trefl Gdańsk,1500,Tyler Sanders
10.12.2017,17:00,Espadon Szczecin,"3:2 (21:25, 25:23, 23:25, 25:18, 15:12)",Aluron Virtu Warta Zawiercie,1100,Bartłomiej Kluth
10.12.2017,20:00,MKS Będzin,"3:2 (22:25, 20:25, 25:19, 25:23, 15:13)",Jastrzębski Węgiel,1325,Rafael Rodrigues de Araújo
12.12.2017,19:00,Onico Warszawa,"3:1 (25:22, 25:22, 20:25, 25:22)",Indykpol AZS Olsztyn,2100,Bartosz Kwolek
13.12.2017,18:00,GKS Katowice,"0:3 (20:25, 25:27, 16:25)",Asseco Resovia Rzeszów,2500,Thibault Rossard
20.12.2017,18:00,Cuprum Lubin,"0:3 (19:25, 23:25, 28:30)",Onico Warszawa,1542,Nikola Ǵorǵiev
22.12.2017,18:00,PGE Skra Bełchatów,"3:0 (25:20, 26:24, 25:21)",BBTS Bielsko-Biała,1797,Srećko Lisinac
22.12.2017,18:00,Czarni Radom,"3:1 (23:25, 25:15, 25:16, 25:14)",Łuczniczka Bydgoszcz,1500,Jakub Ziobrowski
22.12.2017,18:00,Indykpol AZS Olsztyn,"3:2 (25:20, 19:25, 25:20, 23:25, 17:15)",GKS Katowice,1800,Jan Hadrava
23.12.2017,14:45,Trefl Gdańsk,"0:3 (20:25, 20:25, 23:25)",ZAKSA Kędzierzyn-Koźle,3200,Benjamin Toniutti
23.12.2017,15:00,Jastrzębski Węgiel,"2:3 (18:25, 25:20, 25:22, 21:25, 11:15)",Espadon Szczecin,1541,Bartłomiej Kluth
23.12.2017,17:00,Asseco Resovia Rzeszów,"3:0 (25:16, 25:21, 25:20)",MKS Będzin,3326,Jakub Jarosz
23.12.2017,17:00,Aluron Virtu Warta Zawiercie,"3:1 (15:25, 28:26, 25:19, 25:18)",Dafi Społem Kielce,1500,Grzegorz Pająk
13.12.2017,18:00,Łuczniczka Bydgoszcz,"0:3 (11:25, 20:25, 19:25)",Trefl Gdańsk,1127,Tyler Sanders
17.12.2017,15:00,GKS Katowice,"1:3 (25:18, 17:25, 21:25, 21:25)",Cuprum Lubin,430,Keith Pupart
18.12.2017,18:00,BBTS Bielsko-Biała,"2:3 (26:24, 27:29, 22:25, 25:21, 12:15)",Aluron Virtu Warta Zawiercie,850,Grzegorz Bociek
29.12.2017,18:00,Espadon Szczecin,"0:3 (28:30, 20:25, 20:25)",Asseco Resovia Rzeszów,3580,Aleksander Śliwka
30.12.2017,14:45,ZAKSA Kędzierzyn-Koźle,"3:1 (25:20, 25:21, 20:25, 25:20)",PGE Skra Bełchatów,3000,Paweł Zatorski
30.12.2017,17:00,Dafi Społem Kielce,"0:3 (17:25, 22:25, 19:25)",Jastrzębski Węgiel,2457,Salvador Hidalgo Oliva
30.12.2017,18:00,MKS Będzin,"3:1 (25:20, 21:25, 25:22, 26:24)",Indykpol AZS Olsztyn,1360,Marcin Waliński
30.12.2017,18:00,Onico Warszawa,"3:1 (25:15, 31:29, 26:28, 25:22)",Czarni Radom,2800,Wojciech Włodarczyk
05.01.2018,18:00,Trefl Gdańsk,"1:3 (28:26, 25:27, 21:25, 24:26)",PGE Skra Bełchatów,5500,Mariusz Wlazły
06.01.2018,14:45,Dafi Społem Kielce,"3:1 (30:28, 29:27, 20:25, 25:21)",Asseco Resovia Rzeszów,3026,Przemysław Stępień
06.01.2018,14:45,Onico Warszawa,"3:2 (25:17, 23:25, 25:15, 21:25, 15:12)",Łuczniczka Bydgoszcz,1200,Andrzej Wrona
06.01.2018,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (22:25, 25:17, 25:23, 26:24)",Aluron Virtu Warta Zawiercie,2300,Maurice Torres
06.01.2018,17:00,GKS Katowice,"3:1 (25:21, 25:21, 21:25, 25:19)",Czarni Radom,600,Maciej Fijałek
06.01.2018,17:00,BBTS Bielsko-Biała,"2:3 (25:19, 19:25, 25:21, 23:25, 8:15)",Jastrzębski Węgiel,800,Lukas Kampa
06.01.2018,18:00,MKS Będzin,"1:3 (25:20, 23:25, 11:25, 19:25)",Cuprum Lubin,1316,Dawid Gunia
07.01.2018,20:00,Espadon Szczecin,"0:3 (14:25, 23:25, 18:25)",Indykpol AZS Olsztyn,1500,Paweł Woicki
12.01.2018,18:00,Czarni Radom,"3:0 (25:20, 25:22, 25:21)",MKS Będzin,1300,Wojciech Żaliński
12.01.2018,18:00,Cuprum Lubin,"3:1 (25:23, 25:18, 27:29, 25:17)",Espadon Szczecin,1515,Łukasz Kaczmarek
13.01.2018,14:45,Jastrzębski Węgiel,"1:3 (27:25, 17:25, 20:25, 21:25)",ZAKSA Kędzierzyn-Koźle,3052,Maurice Torres
13.01.2018,16:00,Łuczniczka Bydgoszcz,"3:1 (25:23, 20:25, 25:13, 25:22)",GKS Katowice,1270,Bartosz Filipiak
13.01.2018,17:00,Asseco Resovia Rzeszów,"3:0 (25:22, 25:18, 25:21)",BBTS Bielsko-Biała,3118,Aleksander Śliwka
13.01.2018,20:00,Onico Warszawa,"3:0 (25:16, 25:18, 25:18)",Trefl Gdańsk,2065,Wojciech Włodarczyk
14.01.2018,14:45,Aluron Virtu Warta Zawiercie,"3:0 (26:24, 25:21, 25:19)",PGE Skra Bełchatów,1500,Grzegorz Bociek
14.01.2018,15:00,Indykpol AZS Olsztyn,"3:0 (25:22, 25:20, 25:23)",Dafi Społem Kielce,1800,Paweł Woicki
18.01.2018,18:00,Dafi Społem Kielce,"2:3 (25:23, 20:25, 22:25, 25:19, 14:16)",Cuprum Lubin,1316,Łukasz Kaczmarek
19.01.2018,18:00,GKS Katowice,"1:3 (25:17, 21:25, 21:25, 23:25)",Onico Warszawa,750,Antoine Brizard
19.01.2018,18:00,Espadon Szczecin,"2:3 (17:25, 15:25, 25:20, 27:25, 13:15)",Czarni Radom,1080,Kamil Kwasowski
20.01.2018,17:00,BBTS Bielsko-Biała,"1:3 (15:25, 22:25, 25:17, 15:25)",Indykpol AZS Olsztyn,800,Tomas Rousseaux
20.01.2018,18:00,MKS Będzin,"3:1 (25:23, 16:25, 25:19, 25:23)",Łuczniczka Bydgoszcz,1020,Jakub Peszko
21.01.2018,14:45,PGE Skra Bełchatów,"2:3 (25:22, 16:25, 25:18, 21:25, 10:15)",Jastrzębski Węgiel,2463,Maciej Muzaj
21.01.2018,20:00,ZAKSA Kędzierzyn-Koźle,"1:3 (25:21, 22:25, 25:27, 22:25)",Asseco Resovia Rzeszów,2100,Aleksander Śliwka
22.01.2018,18:00,Trefl Gdańsk,"3:1 (20:25, 25:20, 25:22, 25:15)",Aluron Virtu Warta Zawiercie,2100,Damian Schulz
02.02.2018,18:00,GKS Katowice,"0:3 (29:31, 19:25, 21:25)",Trefl Gdańsk,835,Damian Schulz
02.02.2018,18:00,Łuczniczka Bydgoszcz,"3:2 (25:20, 25:21, 18:25, 40:42, 20:18)",Espadon Szczecin,1630,Bartosz Filipiak
03.02.2018,14:45,Indykpol AZS Olsztyn,"0:3 (17:25, 22:25, 15:25)",ZAKSA Kędzierzyn-Koźle,2400,Mateusz Bieniek
03.02.2018,15:00,Jastrzębski Węgiel,"3:0 (25:15, 30:28, 25:22)",Aluron Virtu Warta Zawiercie,1680,Maciej Muzaj
03.02.2018,17:00,Cuprum Lubin,"3:0 (25:22, 25:15, 25:18)",BBTS Bielsko-Biała,1273,Michal Masný
03.02.2018,20:00,Onico Warszawa,"3:1 (20:25, 25:17, 25:12, 25:22)",MKS Będzin,2130,Jan Nowakowski
04.02.2018,14:45,Asseco Resovia Rzeszów,"2:3 (23:25, 25:15, 26:24, 24:26, 10:15)",PGE Skra Bełchatów,4304,Mariusz Wlazły
04.02.2018,17:00,Czarni Radom,"3:0 (25:18, 25:20, 28:26)",Dafi Społem Kielce,1500,Kamil Kwasowski
07.02.2018,19:00,Espadon Szczecin,"1:3 (27:25, 22:25, 16:25, 23:25)",Onico Warszawa,1485,Wojciech Włodarczyk
07.02.2018,20:30,Trefl Gdańsk,"3:2 (20:25, 18:25, 28:26, 25:19, 15:13)",Jastrzębski Węgiel,3700,Artur Szalpuk
09.02.2018,18:00,PGE Skra Bełchatów,"3:2 (18:25, 23:25, 25:22, 25:14, 18:16)",Indykpol AZS Olsztyn,2044,Srećko Lisinac
10.02.2018,14:45,Aluron Virtu Warta Zawiercie,"0:3 (21:25, 19:25, 23:25)",Asseco Resovia Rzeszów,1500,Aleksander Śliwka
10.02.2018,17:00,Dafi Społem Kielce,"3:1 (22:25, 25:23, 25:20, 25:22)",Łuczniczka Bydgoszcz,900,Jakub Wachnik
10.02.2018,17:00,BBTS Bielsko-Biała,"1:3 (22:25, 22:25, 26:24, 26:28)",Czarni Radom,500,Kamil Kwasowski
10.02.2018,18:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:22, 25:23, 25:23)",Cuprum Lubin,1350,Benjamin Toniutti
